membershipId;Status;;
0143;AH;;
0173;AH;;
0185;AH;;
0032;AH;;
0053;AH;;
0061;AH;;
0073;AH;;
0102;AH;;
0114;AH;;
0127;AH;;
0128;AH;;
0153;AH;;
0154;AH;;
0166;AH;;
0169;AH;;
0201;AH;;
0052;AH;;
0248;AH;;
0320;AH;;
0051;Azubi;;
0067;Azubi;;
0080;Azubi;;
0198;Azubi;;
0199;Azubi;;
0031;Azubi;;
0260;Azubi;;
0264;Azubi;;
0276;Azubi;;
0340;Azubi;;
0160;Fördermitglied;;
0070;Fördermitglied;;
0097;Fördermitglied;;
0137;Fördermitglied;;
0309;Fördermitglied;;
0121;Fördermitglied;;
0163;Fördermitglied;;
0098;Fördermitglied;;
0140;Fördermitglied;;
0162;Fördermitglied;;
0308;Fördermitglied;;
0164;Fördermitglied;;
0161;Fördermitglied;;
0239;Kinder;;
0279;Kinder;;
0281;Kinder;;
0282;Kinder;;
0283;Kinder;;
0291;Kinder;;
0293;Kinder;;
295;Kinder;;
304;Kinder;;
0307;Kinder;;
0310;Kinder;;
0312;Kinder;;
0313;Kinder;;
314;Kinder;;
0319;Kinder;;
0322;Kinder;;
0323;Kinder;;
0325;Kinder;;
0326;Kinder;;
0327;Kinder;;
0324;Kinder;;
0342;Kinder;;
0343;Kinder;;
0330;Kinder;;
0331;Kinder;;
0332;Kinder;;
0333;Kinder;;
0334;Kinder;;
0336;Kinder;;
0337;Kinder;;
0338;Kinder;;
0339;Kinder;;
0345;Kinder;;
0019;Männer;;
0020;Männer;;
0035;Männer;;
0099;Männer;;
0106;Männer;;
0193;Männer;;
0233;Männer;;
0234;Männer;;
0038;Männer;;
0050;Männer;;
0071;Männer;;
0072;Männer;;
0076;Männer;;
0082;Männer;;
0117;Männer;;
0119;Männer;;
0118;Männer;;
0126;Männer;;
0157;Männer;;
0171;Männer;;
0254;Männer;;
0255;Männer;;
0249;Männer;;
0259;Männer;;
0266;Männer;;
0278;Männer;;
0317;Männer;;
0341;Männer;;
0344;Männer;;
0328;Männer;;
0329;Männer;;
0149;passiv;;
0011;passiv;;
0026;passiv;;
0085;passiv;;
0120;passiv;;
0138;passiv;;
0170;passiv;;
0236;passiv;;
0183;passiv;;
0202;passiv;;
0220;passiv;;
0223;passiv;;
0225;passiv;;
0014;passiv;;
0017;passiv;;
0018;passiv;;
0027;passiv;;
0037;passiv;;
0047;passiv;;
0056;passiv;;
0100;passiv;;
0104;passiv;;
0129;passiv;;
0156;passiv;;
0210;passiv;;
0211;passiv;;
0244;passiv;;
0298;passiv;;
0311;passiv;;
0316;passiv;;
0321;passiv;;
0215;Rentner;;
0213;Rentner;;
0008;Rentner;;
0021;Rentner;;
0029;Rentner;;
0064;Rentner;;
0068;Rentner;;
0069;Rentner;;
0075;Rentner;;
0078;Rentner;;
0092;Rentner;;
0096;Rentner;;
0105;Rentner;;
0109;Rentner;;
0111;Rentner;;
0112;Rentner;;
0113;Rentner;;
0115;Rentner;;
0151;Rentner;;
0177;Rentner;;
0181;Rentner;;
0182;Rentner;;
0227;Rentner;;
296;Schiri;;
297;Schiri;;
0335;Schiri;;
0077;Azubi;;
0172;Azubi;;
0200;Azubi;;
0257;Azubi;;
0263;Azubi;;
